18/07/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          66010783          P          07          24
          64050301          P          07          24
          78197755          P          07          24
          78195782          P          07          24
          74029554          P          07          24
          77012531          P          07          24
          76243941          P          07          24
          81147394          P          07          24
          76170151          P          07          24
          77307494          P          07          24
          77064664          P          07          24
          76218014          P          07          24
          77294921          P          07          24
          76292071          C          07          24
          76207982          P          07          24
          77339705          C          07          24
          76228255          C          07          24
          77199294          P          07          24
          77253051          P          07          24
          76240061          P          07          24
          77308741          P          07          24
          77195994          P          07          24
          77250443          P          07          24
          76265985          C          07          24
          77222513          P          07          24
          76241601          P          07          24
          76175601          P          07          24
          76216384          P          07          24
          77245671          P          07          24
          74033883          C          07          24
          24005445          C          07          24
          76242131          C          07          24
          76250443          C          07          24
          77293962          P          07          24
          77292754          P          07          24
          76218674          P          07          24
          77978981          C          07          24
          77242102          P          07          24
          76218124          P          07          24
          77268844          P          07          24
          64137514          P          07          24
          24005542          C          07          24
          77138845          P          07          24
          76224824          C          07          24
          77141534          P          07          24
          77104561          P          07          24
          77154252          P          07          24
          77242932          P          07          24
          77234442          P          07          24
          77276753          C          07          24
          76233661          C          07          24
          76183581          P          07          24
          77265493          P          07          24
          77275375          P          07          24
          76239065          C          07          24
          77263365          C          07          24
          77199155          P          07          24
          81148345          P          07          24
          77181681          P          07          24
          77296392          P          07          24
          76252631          C          07          24
          77225715          P          07          24
          77234434          P          07          24
          76189003          P          07          24
          77246512          P          07          24
          77243624          P          07          24
          77292571          C          07          24
          76225485          P          07          24
          64012235          P          07          24
          76184833          P          07          24
          49011404          P          07          24
          49006572          C          07          24
          49006585          C          07          24
          77327122          C          07          24
          77062421          P          07          24
          64013723          C          07          24
          64010801          P          07          24
          52001645          P          07          24
          77269845          P          07          24
          77321935          C          07          24
          77266185          P          07          24
          77320434          C          07          24
          51003545          P          07          24
          77320332          C          07          24
          49349501          C          07          24
          49006404          C          07          24
          77216274          P          07          24
          49351095          C          07          24
          49006263          C          07          24
          64014033          C          07          24
          51013731          P          07          24
          81146725          P          07          24
          77270354          P          07          24
          74004253          P          07          24
          40009334          P          07          24
          77198714          P          07          24
          46002235          P          07          24
          46137535          P          07          24
          49351294          C          07          24
          75282301          P          07          24
          01024782          P          07          24
          75304205          C          07          24
          51016132          P          07          24
          77221622          P          07          24
          75299243          C          07          24
          75299942          C          07          24
          13011051          C          07          24
          13011022          C          07          24
          75305201          C          07          24
          95901675          C          07          24
          75305002          C          07          24
          75300141          C          07          24
          75305303          C          07          24
          13011522          C          07          24
          51004075          P          07          24
          01025364          C          07          24
          01024062          C          07          24
          13007701          P          07          24
          75303505          C          07          24
          75299845          C          07          24
          75303602          C          07          24
          76230854          C          07          24
