06/09/2023     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          01024782          P          09          23
          01025152          C          09          23
          01025893          P          09          23
          01025995          P          09          23
          01026174          P          09          23
          01018273          P          09          23
          01018074          P          09          23
          01022395          P          09          23
          01026572          P          09          23
          01015791          P          09          23
          01017675          P          09          23
          01021195          P          09          23
          01024465          P          09          23
          01024062          C          09          23
          01021611          C          09          23
          01021802          C          09          23
          01024554          C          09          23
          01023215          C          09          23
          01020403          C          09          23
          01021001          C          09          23
          01020903          C          09          23
          01019923          P          09          23
          01023163          P          09          23
          01026454          P          09          23
          02004452          P          09          23
          02013401          C          09          23
          02003304          P          09          23
          02012502          C          09          23
          04001182          P          09          23
          05001043          P          09          23
          05200163          C          09          23
          05200171          C          09          23
          06000704          P          09          23
          06001124          P          09          23
          06022811          P          09          23
          07026904          P          09          23
          08000911          P          09          23
          08000411          P          09          23
          08000712          P          09          23
          08001043          C          09          23
          09000092          C          09          23
          09000822          C          09          23
          09003304          C          09          23
          09004232          C          09          23
          09003621          P          09          23
          09004004          P          09          23
          09002104          P          09          23
          09000212          C          09          23
          13007002          P          09          23
          13008053          P          09          23
          15014994          P          09          23
          15020042          P          09          23
          15020754          P          09          23
          15023532          P          09          23
          15024224          P          09          23
          15028642          C          09          23
          15029091          C          09          23
          15029672          C          09          23
          15029761          C          09          23
          15031771          C          09          23
          15034575          C          09          23
          15034745          C          09          23
          15005322          P          09          23
          15011483          P          09          23
          15011543          P          09          23
          15013663          P          09          23
          15014821          P          09          23
          15015652          P          09          23
          15017714          P          09          23
          15017913          P          09          23
          15020034          P          09          23
          15020801          P          09          23
          15021022          P          09          23
          15022612          P          09          23
          15026491          P          09          23
          15030233          P          09          23
          15032942          P          09          23
          15028862          C          09          23
          15034952          C          09          23
          15035843          C          09          23
          15901104          C          09          23
          15901133          C          09          23
          15901405          C          09          23
          15901612          C          09          23
          15901722          C          09          23
          15901811          C          09          23
          16002125          P          09          23
          16003414          P          09          23
          16004473          P          09          23
          16004931          P          09          23
          16005555          P          09          23
          16006394          P          09          23
          16004672          P          09          23
          18029101          C          09          23
          18004033          P          09          23
          18004295          P          09          23
          18028731          C          09          23
          18028825          C          09          23
          18033032          C          09          23
          18036124          C          09          23
          23070283          P          09          23
          24011933          P          09          23
          24003642          P          09          23
          24005542          C          09          23
          24005741          C          09          23
          26001344          P          09          23
          26001865          P          09          23
          26002044          P          09          23
          26002081          P          09          23
          26001454          P          09          23
          30000741          P          09          23
          30000762          P          09          23
          35000814          P          09          23
          35000262          C          09          23
          35000733          C          09          23
          35000995          C          09          23
          35002942          C          09          23
          35009334          C          09          23
          35000283          C          09          23
          37001315          P          09          23
          37006213          P          09          23
          37001755          P          09          23
          37003464          P          09          23
          37005351          P          09          23
          37007162          P          09          23
          37006381          C          09          23
          37008082          C          09          23
          37003553          P          09          23
          37018202          C          09          23
          37017112          C          09          23
          37006941          P          09          23
          37007502          P          09          23
          37007905          P          09          23
          37013794          P          09          23
          37013891          P          09          23
          37015403          P          09          23
          37016205          P          09          23
          37004033          P          09          23
          37005924          P          09          23
