NUMERO DE ESCUELA;CATEGORIA;TURNO;NOMBRE ESPECIAL;LOCALIDAD;DEPARTAMENTO;CODIGO UNICO;CUISE
1;2º;M;Sor Ana Maria Taboada;Villa La Punta;Choya;8601304;00015
2;2º;M;Juan B. Alberdi;Villa Rio Hondo;Rio Hondo;8601575;00023
4;2º;M;Juan Maria Gutierrez;Vuelta La Barranca;Capital;8600277;00046
6;2º;M;Padre Pajon de la Zarza;Villa Silipica;Silipica;8601384;00062
7;2º;M;Republica del Salvador;Villa Guasayan;Guasayan;8601657;00077
8;2º;M;Pedro Vella;El Polear;Banda;8600935;00085
9;1º;M-T-;Pablo Lascano;El Simbolar;Banda;8601489;00093
11;1º;M-T-;Jose Maria Torres;Villa Ojo de Agua;Ojo de Agua;8600769;00112
12;2º;M;Benjamin Lavaisse;Villa Robles;Robles;8601445;00127
13;2º;M;Prof. Ramon Carrillo;El Dean;Capital;8601163;00135
14;2º;M;Jose Darragueira;Villa Mailin;Avellaneda;8600402;00143
17;1º;M-T-;Felix Frias;Frias ;Choya;8601243;00174
18;2º;M; Juan Agustin Maza;Los Acostas ;Banda;8601545;00182
19;2º;M;Manuel de Frias;San Pedro ;Guasayan;8601653;00197
22;1º;M-T-;Absalon Ibarra;Nicolas Carrizo S/N Bº Alte. Brawn;Capital;8601268;00224
23;1º;M-T-;Manuel Belgrano;Amancio Alcorta S/N Bº Belgrano;Capital;8601266;00232
24;2º;M;Gdor.Gregorio Santillan;Maquito;Capital;8601664;00247
26;1º;M-T-;creada 31/05/06resol.2324;Bº  San Fernando;Banda;8601936;30262
27;1º;M-T-;Dr.Benjamin Zorrilla;Avda. Moreno y Sarmiento;Capital;8601363;00271
28;1º;M-T-;Domingo Faustino Sarmiento;Alsina e Independencia;Capital;8601396;00286
29;1º;M-T-;Francisco Narciso Laprida;Rivadavia e Yrigoyen;Capital;8601582;00294
30;1º;M-T-;Bernardino Rivadavia;Choya;Choya;8600385;00305
31;1º;M-T-;Pedro Pablo Gorostiaga;Parana y Alvarado;Capital;8600463;00313
32;2º ;M;Pedro Firmo Unzaga;Maco RUTA Prov. Nº 28;Capital;8600092;00321
33;1º;M-T-;Nuestra Sra. de las Mecedes ;Avda.Aguirre 1457;Capital;8601357;00336
