19/05/2025     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          49006572          C          05          25
          49011404          P          05          25
          51002183          P          05          25
          51013032          P          05          25
          64010801          P          05          25
          49006585          C          05          25
          49009591          P          05          25
          49011705          P          05          25
          49013294          P          05          25
          64013702          P          05          25
          64130012          P          05          25
          49355594          C          05          25
          64128214          C          05          25
          64128913          C          05          25
          49003532          P          05          25
          49011603          P          05          25
          49013192          P          05          25
          51003545          P          05          25
          74003294          P          05          25
          76185821          P          05          25
          76185834          P          05          25
          76186131          P          05          25
          76187705          P          05          25
          76215744          P          05          25
          76216685          P          05          25
          76217424          P          05          25
          76228483          P          05          25
          81147331          P          05          25
          49352591          C          05          25
          76260781          C          05          25
          70193162          P          05          25
          70316464          P          05          25
          70318351          P          05          25
          74004253          P          05          25
          76000893          P          05          25
          76170151          P          05          25
          76182514          P          05          25
          76183581          P          05          25
          76218014          P          05          25
          76226384          P          05          25
          76241601          P          05          25
          76244191          P          05          25
          76246025          P          05          25
          77064664          P          05          25
          77154252          P          05          25
          77175923          P          05          25
          77195481          P          05          25
          77195494          P          05          25
          77234442          P          05          25
          77236334          P          05          25
          77266512          P          05          25
          77283462          P          05          25
          77290744          P          05          25
          77293962          P          05          25
          77307494          P          05          25
          77978384          P          05          25
          74033281          C          05          25
          76224824          C          05          25
          76233661          C          05          25
          76239065          C          05          25
          76251533          C          05          25
          76255642          C          05          25
          01023794          P          05          25
          01025893          P          05          25
          13010372          P          05          25
          24003524          P          05          25
          24003642          P          05          25
          24010733          P          05          25
          24011632          P          05          25
          64050301          P          05          25
          66010783          P          05          25
          66014724          P          05          25
          73005563          P          05          25
          76184833          P          05          25
          76189003          P          05          25
          76189082          P          05          25
          76190193          P          05          25
          76197585          P          05          25
          76208585          P          05          25
          76215391          P          05          25
          76217995          P          05          25
          76225485          P          05          25
          76234251          P          05          25
          76238195          P          05          25
          76323694          P          05          25
          77009774          P          05          25
          77041454          P          05          25
          77043943          P          05          25
          77084143          P          05          25
          77191034          P          05          25
          77191301          P          05          25
          77197695          P          05          25
          77206415          P          05          25
          77215794          P          05          25
          77218263          P          05          25
          77218441          P          05          25
          77219421          P          05          25
          77227652          P          05          25
          77228674          P          05          25
          77232733          P          05          25
          77236591          P          05          25
          77246512          P          05          25
          77249921          P          05          25
          77250215          P          05          25
          77250545          P          05          25
          77262924          P          05          25
          77270045          P          05          25
          77270825          P          05          25
          77286295          P          05          25
          81147695          P          05          25
          81148345          P          05          25
          15033485          C          05          25
          15033752          C          05          25
          24004143          C          05          25
          24005542          C          05          25
          24005741          C          05          25
          24005945          C          05          25
          24006145          C          05          25
          76233522          C          05          25
          76252631          C          05          25
          77243014          C          05          25
          77284413          C          05          25
          77292681          C          05          25
          77293572          C          05          25
          77296554          C          05          25
          77317685          C          05          25
          01012183          P          05          25
          01026174          P          05          25
          06000725          P          05          25
          07026784          P          05          25
          07026904          P          05          25
          08000283          P          05          25
          13009805          P          05          25
          15005322          P          05          25
          15008265          P          05          25
          15011483          P          05          25
          15011491          P          05          25
          15013663          P          05          25
          15015652          P          05          25
          15017714          P          05          25
          15017913          P          05          25
          15018325          P          05          25
          15020034          P          05          25
          15020631          P          05          25
          15021022          P          05          25
          15021661          P          05          25
          15022463          P          05          25
          15022612          P          05          25
          15024232          P          05          25
          15028493          P          05          25
          15028744          P          05          25
          15032413          P          05          25
          15034342          P          05          25
          16005885          P          05          25
          18004295          P          05          25
          18028715          P          05          25
          18033113          P          05          25
          23074855          P          05          25
          51014135          P          05          25
          64014635          P          05          25
          76185685          P          05          25
          76200281          P          05          25
          76225684          P          05          25
          76227385          P          05          25
          76244183          P          05          25
          76248815          P          05          25
          77009732          P          05          25
          77037531          P          05          25
          77062421          P          05          25
          77103743          P          05          25
          77104354          P          05          25
          77104561          P          05          25
          77105384          P          05          25
          77142292          P          05          25
          77142352          P          05          25
          77155541          P          05          25
          77197352          P          05          25
          77208491          P          05          25
          77212974          P          05          25
          77216915          P          05          25
          77217131          P          05          25
          77222513          P          05          25
          77226512          P          05          25
          77227013          P          05          25
          77233771          P          05          25
          77234065          P          05          25
          77235901          P          05          25
          77239882          P          05          25
          77240595          P          05          25
          77241321          P          05          25
          77242932          P          05          25
          77243624          P          05          25
          77263514          P          05          25
          77265493          P          05          25
          77266012          P          05          25
          77268234          P          05          25
          77268462          P          05          25
          77268844          P          05          25
          77269845          P          05          25
          77272152          P          05          25
          77274044          P          05          25
          77275375          P          05          25
          77281855          P          05          25
          77293394          P          05          25
          77294345          P          05          25
          77296135          P          05          25
          77308741          P          05          25
          77310104          P          05          25
          78197051          P          05          25
          01024711          C          05          25
          01024931          C          05          25
          07026844          C          05          25
          07026962          C          05          25
          08001022          C          05          25
          13011352          C          05          25
          15031263          C          05          25
          15034185          C          05          25
          15034973          C          05          25
          15901112          C          05          25
          15901214          C          05          25
          15901413          C          05          25
          15901722          C          05          25
          15901811          C          05          25
          15902011          C          05          25
          18005403          C          05          25
          18028731          C          05          25
          18029122          C          05          25
          18033715          C          05          25
          18034224          C          05          25
          18034622          C          05          25
          18036823          C          05          25
          51011103          C          05          25
          64014033          C          05          25
          76234832          C          05          25
          77251583          C          05          25
          77263365          C          05          25
          77264764          C          05          25
          77276753          C          05          25
          77280862          C          05          25
          77282673          C          05          25
          77316854          C          05          25
          77317091          C          05          25
          77318343          C          05          25
          77320311          C          05          25
          77321105          C          05          25
          77321524          C          05          25
          77321621          C          05          25
          77321935          C          05          25
          77323343          C          05          25
          77327915          C          05          25
          77328212          C          05          25
          77332915          C          05          25
          77338005          C          05          25
          77339705          C          05          25
          01015791          P          05          25
          01017492          P          05          25
          01020995          P          05          25
          01022073          P          05          25
          01022374          P          05          25
          01022395          P          05          25
          01022675          P          05          25
          01022874          P          05          25
          01023561          P          05          25
          01023765          P          05          25
          01024465          P          05          25
          01026483          P          05          25
          04040631          P          05          25
          04040835          P          05          25
          06001132          P          05          25
          08000212          P          05          25
          13008011          P          05          25
          13008202          P          05          25
          13010534          P          05          25
          15016695          P          05          25
          15016983          P          05          25
          15019732          P          05          25
          15021925          P          05          25
          15026491          P          05          25
          15026912          P          05          25
          15027442          P          05          25
          15028451          P          05          25
          15029054          P          05          25
          16004672          P          05          25
          16366935          P          05          25
          19008032          P          05          25
          19009795          P          05          25
          23068781          P          05          25
          26001344          P          05          25
          26002044          P          05          25
          26002125          P          05          25
          35067675          P          05          25
          37006815          P          05          25
          39001611          P          05          25
          41003231          P          05          25
          41004512          P          05          25
          41007015          P          05          25
          41007112          P          05          25
          41008304          P          05          25
          41012015          P          05          25
          41012201          P          05          25
          41013223          P          05          25
          41013422          P          05          25
          41013524          P          05          25
          42001462          P          05          25
          42002374          P          05          25
          43003702          P          05          25
          43004855          P          05          25
          43008663          P          05          25
          43009012          P          05          25
          43011182          P          05          25
          43011323          P          05          25
          43011734          P          05          25
          43012243          P          05          25
          43012492          P          05          25
          43013634          P          05          25
          43014282          P          05          25
          51003524          P          05          25
          52014245          P          05          25
          64006975          P          05          25
          66007421          P          05          25
          66007544          P          05          25
          66007743          P          05          25
          66014232          P          05          25
          68004295          P          05          25
          69005571          P          05          25
          70105944          P          05          25
          70247945          P          05          25
          73001454          P          05          25
          73001823          P          05          25
          73002552          P          05          25
          73003312          P          05          25
          73003553          P          05          25
          73003692          P          05          25
          73003744          P          05          25
          73004041          P          05          25
          73004813          P          05          25
          73004884          P          05          25
          73004915          P          05          25
          73005364          P          05          25
          73006035          P          05          25
          73006103          P          05          25
          73006221          P          05          25
          73006302          P          05          25
          73006483          P          05          25
          73006522          P          05          25
          73007853          P          05          25
          73008082          P          05          25
          73008281          P          05          25
          73009295          P          05          25
          73010864          P          05          25
          73122941          P          05          25
          73124401          P          05          25
          73193044          P          05          25
          73197292          P          05          25
          73198303          P          05          25
          73204201          P          05          25
          73205265          P          05          25
          74028663          P          05          25
          75025712          P          05          25
          76170504          P          05          25
          76170724          P          05          25
          76170871          P          05          25
          76185313          P          05          25
          76203991          P          05          25
          76222513          P          05          25
          76243682          P          05          25
          76243831          P          05          25
          76248912          P          05          25
          76325191          P          05          25
          77009994          P          05          25
          77013215          P          05          25
          77041491          P          05          25
          77066514          P          05          25
          77108395          P          05          25
          77112564          P          05          25
          77112653          P          05          25
          77142195          P          05          25
          77181262          P          05          25
          77181403          P          05          25
          77181681          P          05          25
          77183175          P          05          25
          77191584          P          05          25
          77192823          P          05          25
          77193052          P          05          25
          77198565          P          05          25
          77198832          P          05          25
          77199155          P          05          25
          77214552          P          05          25
          77215964          P          05          25
          77217385          P          05          25
          77223292          P          05          25
          77224293          P          05          25
          77225011          P          05          25
          77225715          P          05          25
          77226203          P          05          25
          77226724          P          05          25
          77231295          P          05          25
          77233603          P          05          25
          77238771          P          05          25
          77239374          P          05          25
          77242102          P          05          25
          77242864          P          05          25
          77245613          P          05          25
          77264285          P          05          25
          77265375          P          05          25
          77267152          P          05          25
          77268713          P          05          25
          77271282          P          05          25
          77272212          P          05          25
          77274992          P          05          25
          77286261          P          05          25
          77286392          P          05          25
          77286834          P          05          25
          77287754          P          05          25
          77287791          P          05          25
          77290451          P          05          25
          77290723          P          05          25
          77293925          P          05          25
          77294104          P          05          25
          77294531          P          05          25
          77295914          P          05          25
          77296973          P          05          25
          77318555          P          05          25
          77327185          P          05          25
          78195782          P          05          25
          81147093          P          05          25
          82005615          P          05          25
          82007374          P          05          25
          82007984          P          05          25
          82008032          P          05          25
          82008663          P          05          25
          82008723          P          05          25
          82010034          P          05          25
          82010131          P          05          25
          82010173          P          05          25
          82010241          P          05          25
          82011182          P          05          25
          82011865          P          05          25
          01020521          C          05          25
          01020704          C          05          25
          01021001          C          05          25
          01022015          C          05          25
          01022112          C          05          25
          01022125          C          05          25
          01022214          C          05          25
          01024554          C          05          25
          01024614          C          05          25
          01025034          C          05          25
          01025851          C          05          25
          01026522          C          05          25
          13011425          C          05          25
          15028875          C          05          25
          15031771          C          05          25
          15901133          C          05          25
          15901324          C          05          25
          23071763          C          05          25
          35000982          C          05          25
          35009334          C          05          25
          35009342          C          05          25
          37002264          C          05          25
          37006255          C          05          25
          42002293          C          05          25
          43013922          C          05          25
          66011344          C          05          25
          66013341          C          05          25
          66013943          C          05          25
          66014041          C          05          25
          73009614          C          05          25
          73011352          C          05          25
          73011381          C          05          25
          73011585          C          05          25
          73012015          C          05          25
          73012654          C          05          25
          73012751          C          05          25
          73012913          C          05          25
          76253145          C          05          25
          77203572          C          05          25
          77315824          C          05          25
          77316325          C          05          25
          77316391          C          05          25
          77316914          C          05          25
          77317083          C          05          25
          77317355          C          05          25
          77317415          C          05          25
          77317622          C          05          25
          77317635          C          05          25
          77318791          C          05          25
          77319975          C          05          25
          77322384          C          05          25
          77323212          C          05          25
          77323513          C          05          25
          77324983          C          05          25
          77326105          C          05          25
          77328893          C          05          25
          77329904          C          05          25
          77330515          C          05          25
          77332101          C          05          25
          77332902          C          05          25
          77333102          C          05          25
          77334302          C          05          25
          82008524          C          05          25
          82012104          C          05          25
          82012183          C          05          25
          82012594          C          05          25
